step,from,to
1959,16,116
1960,116,40
1961,40,114
1962,114,218
1963,218,108
1964,108,235
1965,235,110
1966,110,222
1967,222,94
1968,94,225
1969,225,92
1970,92,165
1971,165,33
1972,33,187
1973,187,64
1974,64,195
1975,195,127
1976,127,191
1977,191,76
1978,76,170
1979,170,51
1980,51,145
1981,145,220
1982,220,113
1983,113,218
1984,218,117
1985,117,227
1986,227,119
1987,119,215
1988,215,135
1989,135,205
1990,205,126
1991,126,31
1992,31,156
1993,156,65
1994,65,176
1995,176,85
1996,85,152
1997,152,63
1998,63,181
1999,181,71
2000,71,146
2001,146,69
2002,69,190
2003,190,128
2004,128,211
2005,211,131
2006,131,6
2007,6,138
2008,138,4
2009,4,115
2010,115,44
2011,44,191
2012,191,24
2013,24,107
2014,107,29
2015,29,102
2016,102,232
2017,232,116
2018,116,28
2019,28,194
2020,194,66
2021,66,160
2022,160,54
2023,54,204
2024,204,135
2025,135,27
2026,27,129
2027,129,25
2028,25,189
2029,189,78
2030,78,166
2031,166,50
2032,50,190
2033,190,76
2034,76,180
2035,180,73
2036,73,144
2037,144,96
2038,96,167
2039,167,71
2040,71,184
2041,184,56
2042,56,157
2043,157,72
2044,72,153
2045,153,98
2046,98,14
2047,14,102
2048,102,8
2049,8,148
2050,148,23
2051,23,112
2052,112,21
2053,21,108
2054,108,230
2055,230,113
2056,113,221
2057,221,136
2058,136,15
2059,15,129
2060,129,234
2061,234,140
2062,140,13
2063,13,98
2064,98,224
2065,224,129
2066,129,221
2067,221,111
2068,111,173
2069,173,50
2070,50,177
2071,177,44
2072,44,185
2073,185,55
2074,55,164
2075,164,47
2076,47,188
2077,188,40
2078,40,198
2079,198,30
2080,30,128
2081,128,1
2082,1,95
2083,95,238
2084,238,102
2085,102,3
2086,3,147
2087,147,225
2088,225,138
2089,138,56
2090,56,206
2091,206,37
2092,37,194
2093,194,111
2094,111,32
2095,32,106
2096,106,223
2097,223,112
2098,112,11
2099,11,144
2100,144,90
2101,90,0
2102,0,139
2103,139,214
2104,214,124
2105,124,32
2106,32,201
2107,201,66
2108,66,175
2109,175,79
2110,79,164
2111,164,99
2112,99,20
2113,20,128
2114,128,193
2115,193,72
2116,72,166
2117,166,77
2118,77,177
2119,177,61
2120,61,171
2121,171,65
2122,65,167
2123,167,89
2124,89,160
2125,160,103
2126,103,20
2127,20,117
2128,117,207
2129,207,38
2130,38,177
2131,177,49
2132,49,181
2133,181,56
2134,56,169
2135,169,47
2136,47,193
